DATE,LNS12032192
1948-01-01,6080
1948-02-01,6056
1948-03-01,5968
1948-04-01,6213
1948-05-01,6131
1948-06-01,6075
1948-07-01,6203
1948-08-01,6186
1948-09-01,6184
1948-10-01,6095
1948-11-01,6007
1948-12-01,6111
1949-01-01,6104
1949-02-01,6079
1949-03-01,6035
1949-04-01,6086
1949-05-01,6004
1949-06-01,6121
1949-07-01,6129
1949-08-01,6189
1949-09-01,6224
1949-10-01,6285
1949-11-01,6287
1949-12-01,6467
1950-01-01,6223
1950-02-01,6207
1950-03-01,5990
1950-04-01,6024
1950-05-01,6123
1950-06-01,6086
1950-07-01,6389
1950-08-01,5917
1950-09-01,5850
1950-10-01,5842
1950-11-01,5841
1950-12-01,5744
1951-01-01,5698
1951-02-01,5829
1951-03-01,5971
1951-04-01,5932
1951-05-01,5937
1951-06-01,5887
1951-07-01,5841
1951-08-01,5643
1951-09-01,5716
1951-10-01,5815
1951-11-01,5686
1951-12-01,5695
1952-01-01,5560
1952-02-01,5406
1952-03-01,5582
1952-04-01,5605
1952-05-01,5556
1952-06-01,5548
1952-07-01,5451
1952-08-01,5600
1952-09-01,5722
1952-10-01,5670
1952-11-01,5848
1952-12-01,5819
1953-01-01,5813
1953-02-01,5786
1953-03-01,5765
1953-04-01,5711
1953-05-01,5693
1953-06-01,5885
1953-07-01,5737
1953-08-01,5809
1953-09-01,5704
1953-10-01,5662
1953-11-01,5657
1953-12-01,5663
1954-01-01,5769
1954-02-01,5729
1954-03-01,5782
1954-04-01,5711
1954-05-01,5788
1954-06-01,5695
1954-07-01,5846
1954-08-01,5903
1954-09-01,5935
1954-10-01,5927
1954-11-01,6005
1954-12-01,5977
1955-01-01,6066
1955-02-01,5989
1955-03-01,5865
1955-04-01,5791
1955-05-01,5804
1955-06-01,5802
1955-07-01,5767
1955-08-01,5802
1955-09-01,5784
1955-10-01,5865
1955-11-01,5816
1955-12-01,5860
1956-01-01,5959
1956-02-01,5745
1956-03-01,5882
1956-04-01,6000
1956-05-01,5998
1956-06-01,5868
1956-07-01,6051
1956-08-01,5915
1956-09-01,5874
1956-10-01,5775
1956-11-01,5798
1956-12-01,5879
1957-01-01,5769
1957-02-01,5861
1957-03-01,5960
1957-04-01,5994
1957-05-01,6041
1957-06-01,6128
1957-07-01,6210
1957-08-01,6042
1957-09-01,6025
1957-10-01,6100
1957-11-01,6032
1957-12-01,5965
1958-01-01,6000
1958-02-01,6065
1958-03-01,6017
1958-04-01,6064
1958-05-01,6023
1958-06-01,6059
1958-07-01,6195
1958-08-01,6181
1958-09-01,6185
1958-10-01,6218
1958-11-01,6157
1958-12-01,6062
1959-01-01,5993
1959-02-01,6100
1959-03-01,6141
1959-04-01,6201
1959-05-01,6193
1959-06-01,6156
1959-07-01,6226
1959-08-01,6219
1959-09-01,6375
1959-10-01,6397
1959-11-01,6217
1959-12-01,6454
1960-01-01,6366
1960-02-01,6306
1960-03-01,6122
1960-04-01,6245
1960-05-01,6309
1960-06-01,6347
1960-07-01,6193
1960-08-01,6342
1960-09-01,6282
1960-10-01,6246
1960-11-01,6378
1960-12-01,6502
1961-01-01,6481
1961-02-01,6388
1961-03-01,6477
1961-04-01,6346
1961-05-01,6261
1961-06-01,6267
1961-07-01,6244
1961-08-01,6175
1961-09-01,6167
1961-10-01,6275
1961-11-01,6346
1961-12-01,6286
1962-01-01,6276
1962-02-01,6505
1962-03-01,6268
1962-04-01,6361
1962-05-01,6337
1962-06-01,6244
1962-07-01,6187
1962-08-01,6191
1962-09-01,6103
1962-10-01,5935
1962-11-01,5938
1962-12-01,5978
1963-01-01,6028
1963-02-01,6184
1963-03-01,6172
1963-04-01,6022
1963-05-01,6030
1963-06-01,6061
1963-07-01,6083
1963-08-01,6094
1963-09-01,6194
1963-10-01,6159
1963-11-01,6177
1963-12-01,6162
1964-01-01,6218
1964-02-01,6271
1964-03-01,6247
1964-04-01,6188
1964-05-01,6207
1964-06-01,5958
1964-07-01,6145
1964-08-01,6101
1964-09-01,6149
1964-10-01,6221
1964-11-01,6220
1964-12-01,6220
1965-01-01,6173
1965-02-01,6151
1965-03-01,6143
1965-04-01,6268
1965-05-01,6405
1965-06-01,6190
1965-07-01,6110
1965-08-01,6040
1965-09-01,5924
1965-10-01,5947
1965-11-01,5894
1965-12-01,5919
1966-01-01,6102
1966-02-01,6047
1966-03-01,6007
1966-04-01,6061
1966-05-01,6141
1966-06-01,6020
1966-07-01,6031
1966-08-01,6019
1966-09-01,5938
1966-10-01,5866
1966-11-01,5832
1966-12-01,5826
1967-01-01,5305
1967-02-01,5195
1967-03-01,5075
1967-04-01,5199
1967-05-01,5227
1967-06-01,5208
1967-07-01,5057
1967-08-01,5284
1967-09-01,5211
1967-10-01,5172
1967-11-01,5062
1967-12-01,5111
1968-01-01,5029
1968-02-01,5080
1968-03-01,5067
1968-04-01,5100
1968-05-01,5015
1968-06-01,5099
1968-07-01,5041
1968-08-01,5069
1968-09-01,5125
1968-10-01,5158
1968-11-01,5232
1968-12-01,5213
1969-01-01,5151
1969-02-01,5250
1969-03-01,5251
1969-04-01,5328
1969-05-01,5220
1969-06-01,5302
1969-07-01,5348
1969-08-01,5285
1969-09-01,5257
1969-10-01,5194
1969-11-01,5235
1969-12-01,5207
1970-01-01,5286
1970-02-01,5139
1970-03-01,5213
1970-04-01,5103
1970-05-01,5163
1970-06-01,5119
1970-07-01,5199
1970-08-01,5276
1970-09-01,5289
1970-10-01,5280
1970-11-01,5337
1970-12-01,5260
1971-01-01,5298
1971-02-01,5382
1971-03-01,5288
1971-04-01,5328
1971-05-01,5353
1971-06-01,5323
1971-07-01,5235
1971-08-01,5248
1971-09-01,5284
